,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
29294,anetv_Lr0Vm9zBXKE,3185,Snowy mountain range is shown and people are doing snowboarding. helicopter,Snowy mountain range is shown and people are doing snowboarding.,helicopter,gold,is atop a dark gym.,is flying into the ocean and is running on it.,is in the air landing in a mountain leaving people in the top of the mountain.,"falls over several other people, going for a few seconds.",2
4734,anetv_BkjWeWUwG0A,13484,A red building is shown behind them. The kits,A red building is shown behind them.,The kits,gold,warms into the left.,are displayed in fast motion putting it on.,continue with great skateboarding and seesaw appearance and etcetera.,continue to swing on the swings.,3
64425,lsmdc3037_IRON_MAN2-17070,2801,Someone pulls someone close and punches his helmet. Someone,Someone pulls someone close and punches his helmet.,Someone,gen,takes someone onto benches wood.,stares disintegrate with his lips and slams the glass down into the floor.,bursts in on impact.,"shoots the door at him, with a bullet in his hand.",2
59662,lsmdc3066_THE_ADVENTURES_OF_TINTIN-31530,10814,Thugs rush the open hold. The burly thug,Thugs rush the open hold.,The burly thug,gen,fires his arms.,swings him along the train then closes the door.,leaps past the officer.,hurls the front case into him.,2
40825,lsmdc1047_Defiance-91699,11171,His eyes search her face. She,His eyes search her face.,She,gold,hands back the revolver.,fingers the shiny long golden hair.,spins her to face him.,"sits down in front of him, as if someone were mad.",0
42022,lsmdc1034_Super_8-8078,11057,"He nearly leaps out of his skin as a dumpster flies past him. In the shop, someone",He nearly leaps out of his skin as a dumpster flies past him.,"In the shop, someone",gold,talks to a passenger - filled field of people.,is oblivious as his walkman drowns out all the sound.,is spotting a van in the corner farther out.,shows him a test blade.,1
1679,lsmdc3061_SNOW_FLOWER-30455,18567,"Her lips spread into a sleepy smile. Staring at the ceiling, someone",Her lips spread into a sleepy smile.,"Staring at the ceiling, someone",gen,spots a group of hors d'oeuvres teenagers gathered at her side.,opens the front door.,stares from the ceiling.,wearily shakes her head.,3
61273,anetv_uyGxlvak-Bg,10712,The woman in the black shirt is mixing a paste together in a bowl. She,The woman in the black shirt is mixing a paste together in a bowl.,She,gen,has the sheet taken and dried.,adds a toothpick to the glass.,wiped the glass with a orange sponge and cut the grass.,mix it with oil and cream.,3
46535,anetv_nXNczyQpljQ,1063,The man jostles his jaw back and fourth. We,The man jostles his jaw back and fourth.,We,gold,see people on the lifeboat.,blow him up and down.,see the matador in black again.,zoom in on the mans hands as he pushes keys the man finishes playing and smiles.,3
51894,lsmdc3019_COLOMBIANA-9012,13089,"Now a low sun casts a golden glow in the sky over Chicago. In her apartment, someone",Now a low sun casts a golden glow in the sky over Chicago.,"In her apartment, someone",gold,spots a restaurant burn behind someone.,soaks forlornly in a tub.,watches her mother decorate the house with an armful of posts.,disembarks from a pair of headphones near a bar.,1
30528,anetv_caPl3Aszru0,18846,"Then, the woman jumps and flips three times and dive in the water. Then the woman","Then, the woman jumps and flips three times and dive in the water.",Then the woman,gen,does tricks in the same water.,gets ready to bungee board a dive.,jumps and flips off the floor.,flips on the side and walks scuffs her hands.,0
45135,lsmdc0007_DIE_NACHT_DES_JAEGERS-49354,5445,Someone sets the candle on a barrel near the shelf - prop and sinks to his knees below shot as someone gapes at people looks stony. She,Someone sets the candle on a barrel near the shelf - prop and sinks to his knees below shot as someone gapes at people looks stony.,She,gold,gives a wounded curve's arm.,applauds for the children to work.,touches his arm and someone's.,seems about to speak.,3
58711,lsmdc1012_Unbreakable-7345,3660,Someone freewheels down a ramp into his office and swings the chair around to face someone. He,Someone freewheels down a ramp into his office and swings the chair around to face someone.,He,gen,runs out as two more people lie on the floor as the lighthouse approaches.,"kicks his back, lunges, and kicks off the other man's chest and takes a bulky smock from his hand.","stands in an open field, rooftop at its head, peering closely at a light black - button furnished room.",gives him the keys.,3
9845,lsmdc3034_IDES_OF_MARCH-3066,17584,"She glances at traffic on the road beside her, and then approaches a cafe. Later, she","She glances at traffic on the road beside her, and then approaches a cafe.","Later, she",gen,faces a hanger with her open gun and working at a mirror.,"enters his office, checking over a drink of liquor.",aims her laptop straight as the truck drives up the highway.,stubs out a cigarette.,3
16727,anetv_l4C-l6XeNRc,7328,"A person takes a key off a wall, gasses and starts a tractor. A boy in a hat","A person takes a key off a wall, gasses and starts a tractor.",A boy in a hat,gen,breaks a star on wood.,puts decorations on the tree.,is playing a harmonica and the crowd applauds.,is talking around the branch.,2
22397,anetv_F1-PnXa9SwQ,9082,She starts mowing the lawn. She,She starts mowing the lawn.,She,gold,dog quickly passes a lawn mower out of a pair of trees and begins to shake.,uses a rake to mow her lawn.,bends down and puts the leg back in the mower.,turns around and goes back the other way.,3
37923,lsmdc1033_Sherlock_Holmes_A_Game_of_Shadows-85140,6033,"As he leans against a tree, a guard comes at him. The bullet hits the tree, then the guard","As he leans against a tree, a guard comes at him.","The bullet hits the tree, then the guard",gen,returns from the frightened firewood.,arrives in the undergrowth.,gets over and fans himself with the heel of his hand.,is moving towards the dead figure.,3
69249,anetv_r9OvUc28Qi8,19134,"A large group of people are in an area walking, talking and hanging out. Two men with a referee in the middle appear on a stage and they","A large group of people are in an area walking, talking and hanging out.",Two men with a referee in the middle appear on a stage and they,gen,are shown playing badminton as they join in front of a crowd of people watching.,"are blocked as one group plays and one scores behind the pool stops, then a wrestling player pushes a blue ball attached.",begin to play a game of tug of war.,are shooting at them and pose for the finish then the men show a couple who are falling in the field.,2
67699,lsmdc3022_DINNER_FOR_SCHMUCKS-10485,4134,Someone seethes and pulls up a chair. Someone,Someone seethes and pulls up a chair.,Someone,gold,makes a wild point as she turns to someone.,"starts to hold someone, then turns and gets out of bed.","peers adoringly, then lowers his eyes and gives her a sly look.",shakes hands with someone.,3
56135,anetv_9o2iojC7gSw,15833,The athlete sits with a coach and watches a tv screen. The athlete,The athlete sits with a coach and watches a tv screen.,The athlete,gold,rises to the ground in a punch and jumps over the pole as it goes down.,"throws several goals, then celebrating and scores.","performs a back flip, spins several times with the machine, then doing multiple flips.",stands and talks on the track and does a warm up run jumping on the mats.,3
28985,anetv_q6sLCLnTuik,8289,The man blow dries the woman's hair using a round brush. He then,The man blow dries the woman's hair using a round brush.,He then,gold,styles it with a comb.,tucks her hair into his glasses and tosses the towel into the chair.,combs the length of the hair.,stops and dries his hair.,0
11443,anetv_FEqLmpNzxdg,12059,A man is holding a small fish in his hand talking. A fish,A man is holding a small fish in his hand talking.,A fish,gen,is seen floating away from the water.,is shown under the water.,is swimming to the ocean.,is swimming around fish.,1
19246,anetv_LbS-C68GTX8,671,The other group that are on the wall standing are watching as the other group carrying the balls walk up to them and throw the ball. Two teams,The other group that are on the wall standing are watching as the other group carrying the balls walk up to them and throw the ball.,Two teams,gold,of then are seen standing in a box and talking to each other on a field.,are standing playing volleyball that are watching the winning team mates.,started to throw ball on each other.,take a ball back to serving and land in the sand trying to catch the ball.,2
14404,lsmdc0033_Amadeus-66970,9818,"Cu, someone in his box, tears on his cheeks. He watches the ensemble and we","Cu, someone in his box, tears on his cheeks.",He watches the ensemble and we,gold,can see that it's a careless pace.,listen to it for a long moment.,see someone's playing in the night with the sheets.,see someone approaching through his black beard.,1
